Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AHC,RF,10,10,20,0.8554216867469879,80,31
AHC,ZR,0,0,0,0,80,49
AHC,RF,50,40,20,0.9135802469135802,90,76
AHC,ZR,0,0,0,0,90,36
AGN,RF,10,10,20,0.7225647348951911,10,10
AGN,ZR,0,0,0,0,10,10
AGN,RF,20,50,20,0.797011207970112,20,15
AGN,ZR,0,0,0,0,20,6
AGN,RF,10,50,20,0.8289308176100629,30,9
AGN,ZR,0,0,0,0,30,4
AGN,RF,20,50,20,0.8386277001270648,40,24
AGN,ZR,0,0,0,0,40,25
AHT,RF,10,10,20,0.7177814029363785,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,10,20,0.7454545454545455,20,19
AHT,ZR,0,0,0,0,20,1
AHT,RF,10,10,20,0.7386934673366834,30,10
AHT,ZR,0,0,0,0,30,21
AHT,RF,30,20,20,0.8217317487266553,40,28
AHT,ZR,0,0,0,0,40,30
AHT,RF,20,30,20,0.7573149741824441,50,23
AHT,ZR,0,0,0,0,50,35
AHT,RF,40,10,20,0.8097731239092496,60,49
AHT,ZR,0,0,0,0,60,11
AHC,RF,10,10,20,0.6958762886597938,10,4
AHC,ZR,0,0,0,0,10,4
AHC,RF,10,30,20,0.7921052631578948,20,9
AHC,ZR,0,0,0,0,20,0
AHC,RF,20,50,20,0.7983870967741935,30,23
AHC,ZR,0,0,0,0,30,13
AHC,RF,10,40,20,0.8186813186813187,40,28
AHC,ZR,0,0,0,0,40,12
AHC,RF,40,20,20,0.8398876404494382,50,41
AHC,ZR,0,0,0,0,50,9
AHC,RF,10,30,20,0.8850574712643678,60,45
AHC,ZR,0,0,0,0,60,13
AHC,RF,10,50,20,0.8705882352941177,70,48
AHC,ZR,0,0,0,0,70,45
AHC,RF,10,10,20,0.8554216867469879,80,31
AHC,ZR,0,0,0,0,80,49
AHC,RF,50,40,20,0.9135802469135802,90,76
AHC,ZR,0,0,0,0,90,36
AHC,RF,20,10,20,0.8481012658227848,100,80
AHC,ZR,0,0,0,0,100,49
ABR,RF,10,10,20,0.7422680412371134,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,20,20,0.813588850174216,20,12
ABR,ZR,0,0,0,0,20,0
ABR,RF,10,20,20,0.8074204946996466,30,17
ABR,ZR,0,0,0,0,30,6
ABR,RF,20,10,20,0.8315412186379928,40,40
ABR,ZR,0,0,0,0,40,40
ABR,RF,20,20,20,0.84,50,44
ABR,ZR,0,0,0,0,50,33
ABR,RF,10,50,20,0.8505535055350554,60,29
ABR,ZR,0,0,0,0,60,27
ABR,RF,10,10,20,0.8202247191011236,70,46
ABR,ZR,0,0,0,0,70,46
AFL,RF,10,10,20,0.8187422934648582,10,8
AFL,ZR,0,0,0,0,10,8
AFL,RF,10,20,20,0.8343711083437111,20,17
AFL,ZR,0,0,0,0,20,8
AFL,RF,10,40,20,0.8377358490566038,30,22
AFL,ZR,0,0,0,0,30,23
AFL,RF,10,20,20,0.8373570520965693,40,10
AFL,ZR,0,0,0,0,40,8
AFL,RF,30,40,20,0.8446726572528883,50,42
AFL,ZR,0,0,0,0,50,40
AKR,RF,10,10,20,0.7546468401486989,10,9
AKR,ZR,0,0,0,0,10,9
AKR,RF,10,10,20,0.799749687108886,20,16
AKR,ZR,0,0,0,0,20,16
AKR,RF,40,30,20,0.8343868520859671,30,22
AKR,ZR,0,0,0,0,30,12
AKR,RF,10,50,20,0.8250319284802043,40,14
AKR,ZR,0,0,0,0,40,12
AKR,RF,20,10,20,0.8387096774193549,50,39
AKR,ZR,0,0,0,0,50,25
AGN,RF,10,10,20,0.7225647348951911,10,10
AGN,ZR,0,0,0,0,10,10
AGN,RF,20,50,20,0.797011207970112,20,15
AGN,ZR,0,0,0,0,20,6
AGN,RF,10,50,20,0.8289308176100629,30,9
AGN,ZR,0,0,0,0,30,4
AGN,RF,20,50,20,0.8386277001270648,40,24
AGN,ZR,0,0,0,0,40,25
AGN,RF,10,10,20,0.8408215661103979,50,26
AGN,ZR,0,0,0,0,50,23
AEM,RF,40,40,20,0.686806411837238,10,8
AEM,ZR,0,0,0,0,10,7
AEM,RF,10,10,20,0.7347447073474471,20,20
AEM,ZR,0,0,0,0,20,20
AEM,RF,10,20,20,0.7748427672955975,30,26
AEM,ZR,0,0,0,0,30,12
AEM,RF,40,40,20,0.8271918678526048,40,29
AEM,ZR,0,0,0,0,40,27
AEM,RF,20,30,20,0.82798459563543,50,29
AEM,ZR,0,0,0,0,50,45
AHT,RF,10,10,20,0.7177814029363785,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,10,20,0.7454545454545455,20,19
AHT,ZR,0,0,0,0,20,1
AHT,RF,10,10,20,0.7386934673366834,30,10
AHT,ZR,0,0,0,0,30,21
AHT,RF,30,20,20,0.8217317487266553,40,28
AHT,ZR,0,0,0,0,40,30
AHT,RF,20,30,20,0.7573149741824441,50,23
AHT,ZR,0,0,0,0,50,35
AHT,RF,40,10,20,0.8097731239092496,60,49
AHT,ZR,0,0,0,0,60,11
AHT,RF,10,30,20,0.8283185840707965,70,59
AHT,ZR,0,0,0,0,70,7
ABR,RF,10,10,20,0.7422680412371134,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,20,20,0.813588850174216,20,12
ABR,ZR,0,0,0,0,20,0
ABR,RF,10,20,20,0.8074204946996466,30,17
ABR,ZR,0,0,0,0,30,6
ABR,RF,20,10,20,0.8315412186379928,40,40
ABR,ZR,0,0,0,0,40,40
ABR,RF,20,20,20,0.84,50,44
ABR,ZR,0,0,0,0,50,33
ABR,RF,10,50,20,0.8505535055350554,60,29
ABR,ZR,0,0,0,0,60,27
ABR,RF,10,10,20,0.8202247191011236,70,46
ABR,ZR,0,0,0,0,70,46
ABR,RF,10,10,20,0.8403041825095057,80,66
ABR,ZR,0,0,0,0,80,61
AFL,RF,10,10,20,0.8187422934648582,10,8
AFL,ZR,0,0,0,0,10,8
AFL,RF,10,20,20,0.8343711083437111,20,17
AFL,ZR,0,0,0,0,20,8
AFL,RF,10,40,20,0.8377358490566038,30,22
AFL,ZR,0,0,0,0,30,23
AFL,RF,10,20,20,0.8373570520965693,40,10
AFL,ZR,0,0,0,0,40,8
AFL,RF,30,40,20,0.8446726572528883,50,42
AFL,ZR,0,0,0,0,50,40
AFL,RF,20,10,20,0.8456549935149157,60,31
AFL,ZR,0,0,0,0,60,32
AKR,RF,10,10,20,0.7546468401486989,10,9
AKR,ZR,0,0,0,0,10,9
AKR,RF,10,10,20,0.799749687108886,20,16
AKR,ZR,0,0,0,0,20,16
AKR,RF,40,30,20,0.8343868520859671,30,22
AKR,ZR,0,0,0,0,30,12
AKR,RF,10,50,20,0.8250319284802043,40,14
AKR,ZR,0,0,0,0,40,12
AKR,RF,20,10,20,0.8387096774193549,50,39
AKR,ZR,0,0,0,0,50,25
AKR,RF,10,40,20,0.847457627118644,60,42
AKR,ZR,0,0,0,0,60,14
ABR,RF,10,10,20,0.7422680412371134,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,20,20,0.813588850174216,20,12
ABR,ZR,0,0,0,0,20,0
ABR,RF,10,20,20,0.8074204946996466,30,17
ABR,ZR,0,0,0,0,30,6
ABR,RF,20,10,20,0.8315412186379928,40,40
ABR,ZR,0,0,0,0,40,40
ABR,RF,20,20,20,0.84,50,44
ABR,ZR,0,0,0,0,50,33
ABR,RF,10,50,20,0.8505535055350554,60,29
ABR,ZR,0,0,0,0,60,27
ABR,RF,10,10,20,0.8202247191011236,70,46
ABR,ZR,0,0,0,0,70,46
ABR,RF,10,10,20,0.8403041825095057,80,66
ABR,ZR,0,0,0,0,80,61
ABR,RF,50,10,20,0.8687258687258688,90,61
ABR,ZR,0,0,0,0,90,89
AHT,RF,10,10,20,0.7177814029363785,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,10,20,0.7454545454545455,20,19
AHT,ZR,0,0,0,0,20,1
AHT,RF,10,10,20,0.7386934673366834,30,10
AHT,ZR,0,0,0,0,30,21
AHT,RF,30,20,20,0.8217317487266553,40,28
AHT,ZR,0,0,0,0,40,30
AHT,RF,20,30,20,0.7573149741824441,50,23
AHT,ZR,0,0,0,0,50,35
AHT,RF,40,10,20,0.8097731239092496,60,49
AHT,ZR,0,0,0,0,60,11
AHT,RF,10,30,20,0.8283185840707965,70,59
AHT,ZR,0,0,0,0,70,7
AHT,RF,30,10,20,0.7809694793536804,80,58
AHT,ZR,0,0,0,0,80,19
AGN,RF,10,10,20,0.7225647348951911,10,10
AGN,ZR,0,0,0,0,10,10
AGN,RF,20,50,20,0.797011207970112,20,15
AGN,ZR,0,0,0,0,20,6
AGN,RF,10,50,20,0.8289308176100629,30,9
