Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 KMT,KNN,-1,-1,chebyshev,11,0.5210084033613446,40,-1,-1,-1,16
 KMT,RF,40,20,0,-1,0.5264830508474576,50,-1,-1,-1,27
 KMT,SVM,-1,-1,poly,-1,0.527542372881356,50,1,4,-1,25
 KMT,KNN,-1,-1,chebyshev,11,0.5222457627118644,50,-1,-1,-1,25
 KMT,RF,30,40,0,-1,0.5341880341880342,60,-1,-1,-1,19
 KMT,SVM,-1,-1,linear,-1,0.5576923076923077,60,0.5,1,-1,21
 KMT,KNN,-1,-1,braycurtis,11,0.5288461538461539,60,-1,-1,-1,25
 KMT,RF,10,30,0,-1,0.540948275862069,70,-1,-1,-1,32
 KMT,SVM,-1,-1,poly,-1,0.5754310344827587,70,1,2,-1,33
 KMT,KNN,-1,-1,euclidean,11,0.5571120689655172,70,-1,-1,-1,31
 KMT,RF,10,50,0,-1,0.5641304347826087,80,-1,-1,-1,51
 KMT,SVM,-1,-1,poly,-1,0.5782608695652174,80,1,2,-1,56
 KMT,KNN,-1,-1,chebyshev,11,0.5413043478260869,80,-1,-1,-1,47
 KMT,RF,40,10,0,-1,0.5635964912280702,90,-1,-1,-1,45
 KMT,SVM,-1,-1,poly,-1,0.5778508771929824,90,1,3,-1,45
 KMT,KNN,-1,-1,chebyshev,11,0.5296052631578947,90,-1,-1,-1,49
 KMT,RF,30,50,0,-1,0.5398230088495575,100,-1,-1,-1,32
 KMT,SVM,-1,-1,poly,-1,0.5442477876106194,100,0.5,3,-1,31
 KMT,KNN,-1,-1,braycurtis,11,0.5287610619469026,100,-1,-1,-1,40
 BHP,RF,10,10,0,-1,0.4533333333333333,10,-1,-1,-1,4
 BHP,SVM,-1,-1,linear,-1,0.4748717948717949,10,10,1,-1,10
 BHP,KNN,-1,-1,chebyshev,11,0.4266666666666667,10,-1,-1,-1,1
 BHP,RF,10,10,0,-1,0.5294725956566702,20,-1,-1,-1,18
 BHP,SVM,-1,-1,rbf,-1,0.5470527404343329,20,1,1,-1,18
 BHP,KNN,-1,-1,euclidean,11,0.4984488107549121,20,-1,-1,-1,9
 BHP,RF,10,20,0,-1,0.5589155370177268,30,-1,-1,-1,8
 BHP,SVM,-1,-1,poly,-1,0.5662148070907195,30,10,2,-1,8
 BHP,KNN,-1,-1,euclidean,11,0.5307612095933264,30,-1,-1,-1,15
