,Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
160, CWEN,SVM,-1,-1,poly,19,0.7109826589595376,10,100,4,-1,2
161, CWEN,SVM,-1,-1,poly,11,0.6727272727272727,20,100,4,-1,8
162, CWEN,SVM,-1,-1,poly,10,0.7197452229299363,30,100,4,-1,11
163, CWEN,SVM,-1,-1,poly,10,0.6912751677852349,40,10,4,-1,17
164, CWEN,SVM,-1,-1,poly,10,0.7446808510638298,50,100,4,-1,24
165, CWEN,SVM,-1,-1,linear,10,0.6842105263157895,60,100,1,-1,16
166, CWEN,SVM,-1,-1,poly,11,0.72,70,100,4,-1,37
167, CWEN,SVM,-1,-1,poly,15,0.6666666666666666,80,100,4,-1,29
168, CWEN,SVM,-1,-1,poly,18,0.6238532110091743,90,10,2,-1,58
169, CWEN,SVM,-1,-1,poly,21,0.7029702970297029,100,100,3,-1,52
170, ABR,SVM,-1,-1,rbf,16,0.7086183310533516,10,100,1,-1,6
171, ABR,SVM,-1,-1,poly,16,0.623789764868603,20,100,4,-1,6
172, ABR,SVM,-1,-1,poly,16,0.6559440559440559,30,100,4,-1,7
173, ABR,SVM,-1,-1,poly,17,0.7256011315417256,40,100,4,-1,38
174, ABR,SVM,-1,-1,poly,10,0.709585121602289,50,100,4,-1,34
175, ABR,SVM,-1,-1,poly,15,0.678726483357453,60,100,4,-1,27
176, ABR,SVM,-1,-1,poly,15,0.6881405563689604,70,100,4,-1,45
177, ABR,SVM,-1,-1,poly,15,0.6844444444444444,80,100,4,-1,60
178, ABR,SVM,-1,-1,poly,18,0.664167916041979,90,100,4,-1,89
179, ABR,SVM,-1,-1,poly,10,0.6388467374810318,100,10,4,-1,61
180, INXN,SVM,-1,-1,poly,12,0.6503856041131105,10,100,4,-1,6
181, INXN,SVM,-1,-1,poly,12,0.7007874015748031,20,100,4,-1,9
182, INXN,SVM,-1,-1,poly,17,0.7184986595174263,30,100,4,-1,27
183, INXN,SVM,-1,-1,rbf,13,0.726027397260274,40,100,1,-1,36
184, INXN,SVM,-1,-1,poly,10,0.7198879551820728,50,100,4,-1,2
185, INXN,SVM,-1,-1,rbf,10,0.7363896848137536,60,100,1,-1,39
186, INXN,SVM,-1,-1,poly,14,0.7126099706744868,70,100,4,-1,44
187, INXN,SVM,-1,-1,poly,17,0.7267267267267268,80,100,4,-1,65
188, INXN,SVM,-1,-1,poly,16,0.6707692307692308,90,100,4,-1,43
189, INXN,SVM,-1,-1,poly,16,0.6750788643533123,100,100,2,-1,48
190, APH,SVM,-1,-1,poly,10,0.659043659043659,10,100,4,-1,5
191, APH,SVM,-1,-1,poly,13,0.6415094339622641,20,100,4,-1,2
192, APH,SVM,-1,-1,poly,17,0.6596194503171248,30,100,4,-1,5
193, APH,SVM,-1,-1,poly,13,0.7366737739872068,40,100,4,-1,40
194, APH,SVM,-1,-1,poly,12,0.6440860215053763,50,100,4,-1,42
195, APH,SVM,-1,-1,poly,12,0.6876355748373102,60,100,4,-1,28
196, APH,SVM,-1,-1,poly,16,0.6509846827133481,70,100,4,-1,14
197, APH,SVM,-1,-1,poly,13,0.6799116997792495,80,100,4,-1,30
198, APH,SVM,-1,-1,poly,16,0.643652561247216,90,100,3,-1,37
199, APH,SVM,-1,-1,poly,15,0.6438202247191012,100,100,4,-1,30
200,CWEN,KNN,-1,-1,manhattan,10,0.7514450867052023,10,-1,-1,3,1
201, CWEN,KNN,-1,-1,euclidean,11,0.7636363636363637,20,-1,-1,5,20
202, CWEN,KNN,-1,-1,canberra,10,0.8025477707006371,30,-1,-1,3,17
203, CWEN,KNN,-1,-1,chebyshev,11,0.7382550335570469,40,-1,-1,3,21
204, CWEN,KNN,-1,-1,euclidean,12,0.8368794326241135,50,-1,-1,3,22
205, CWEN,KNN,-1,-1,manhattan,10,0.7894736842105263,60,-1,-1,5,34
206, CWEN,KNN,-1,-1,manhattan,15,0.736,70,-1,-1,3,24
207, CWEN,KNN,-1,-1,canberra,13,0.6837606837606838,80,-1,-1,3,42
208, CWEN,KNN,-1,-1,manhattan,10,0.7339449541284404,90,-1,-1,3,47
209, CWEN,KNN,-1,-1,manhattan,14,0.7425742574257426,100,-1,-1,7,58
210, INXN,KNN,-1,-1,manhattan,10,0.7197943444730077,10,-1,-1,5,5
211, INXN,KNN,-1,-1,manhattan,10,0.7795275590551181,20,-1,-1,3,11
212, INXN,KNN,-1,-1,braycurtis,10,0.7801608579088471,30,-1,-1,7,30
213, INXN,KNN,-1,-1,manhattan,10,0.7917808219178082,40,-1,-1,7,35
214, INXN,KNN,-1,-1,braycurtis,10,0.7703081232492998,50,-1,-1,3,11
215, INXN,KNN,-1,-1,braycurtis,10,0.7851002865329513,60,-1,-1,7,42
216, INXN,KNN,-1,-1,braycurtis,11,0.7947214076246334,70,-1,-1,3,37
217, INXN,KNN,-1,-1,braycurtis,11,0.8048048048048048,80,-1,-1,3,47
218, INXN,KNN,-1,-1,braycurtis,10,0.8061538461538461,90,-1,-1,3,51
219, INXN,KNN,-1,-1,euclidean,10,0.7981072555205048,100,-1,-1,3,46
220, HUN,KNN,-1,-1,braycurtis,10,0.7300435413642961,10,-1,-1,3,4
221, HUN,KNN,-1,-1,euclidean,10,0.7665198237885462,20,-1,-1,3,10
222, HUN,KNN,-1,-1,canberra,10,0.8083209509658247,30,-1,-1,3,8
223, HUN,KNN,-1,-1,braycurtis,12,0.8315789473684211,40,-1,-1,3,21
224, HUN,KNN,-1,-1,chebyshev,11,0.8127853881278538,50,-1,-1,5,34
225, HUN,KNN,-1,-1,manhattan,11,0.7812018489984591,60,-1,-1,3,26
226, HUN,KNN,-1,-1,euclidean,10,0.8221528861154446,70,-1,-1,3,14
227, HUN,KNN,-1,-1,braycurtis,11,0.8262243285939969,80,-1,-1,5,27
228, HUN,KNN,-1,-1,braycurtis,12,0.8079999999999999,90,-1,-1,3,50
229, HUN,KNN,-1,-1,manhattan,11,0.813614262560778,100,-1,-1,3,49
230, ABR,KNN,-1,-1,manhattan,13,0.7920656634746922,10,-1,-1,3,6
231, ABR,KNN,-1,-1,manhattan,10,0.7856154910096819,20,-1,-1,5,11
232, ABR,KNN,-1,-1,manhattan,11,0.8125874125874126,30,-1,-1,3,7
233, ABR,KNN,-1,-1,manhattan,10,0.8387553041018387,40,-1,-1,3,32
234, ABR,KNN,-1,-1,manhattan,10,0.8469241773962805,50,-1,-1,3,48
235, ABR,KNN,-1,-1,manhattan,10,0.8422575976845152,60,-1,-1,3,27
236, ABR,KNN,-1,-1,braycurtis,10,0.849194729136164,70,-1,-1,3,45
237, ABR,KNN,-1,-1,manhattan,10,0.8503703703703703,80,-1,-1,3,60
238, ABR,KNN,-1,-1,euclidean,10,0.8425787106446777,90,-1,-1,3,89
239, ABR,KNN,-1,-1,braycurtis,11,0.8285280728376327,100,-1,-1,3,20
240, CUZ,KNN,-1,-1,euclidean,12,0.6632016632016632,10,-1,-1,3,10
241, CUZ,KNN,-1,-1,braycurtis,13,0.7431865828092243,20,-1,-1,3,5
242, CUZ,KNN,-1,-1,euclidean,12,0.7758985200845666,30,-1,-1,3,21
243, CUZ,KNN,-1,-1,manhattan,11,0.7803837953091685,40,-1,-1,3,25
244, CUZ,KNN,-1,-1,chebyshev,13,0.7677419354838709,50,-1,-1,3,43
245, CUZ,KNN,-1,-1,canberra,12,0.7754880694143167,60,-1,-1,3,27
246, CUZ,KNN,-1,-1,euclidean,10,0.7964989059080962,70,-1,-1,3,35
247, CUZ,KNN,-1,-1,manhattan,11,0.7781456953642384,80,-1,-1,3,30
248, CUZ,KNN,-1,-1,manhattan,10,0.7706013363028953,90,-1,-1,3,42
249, CUZ,KNN,-1,-1,canberra,10,0.7887640449438202,100,-1,-1,3,45
250, KMT,KNN,-1,-1,braycurtis,12,0.6621621621621622,10,-1,-1,3,2
251, KMT,KNN,-1,-1,canberra,10,0.7987421383647799,20,-1,-1,3,4
252, KMT,KNN,-1,-1,euclidean,11,0.7906976744186046,30,-1,-1,5,4
253, KMT,KNN,-1,-1,braycurtis,10,0.8059701492537313,40,-1,-1,3,17
254, KMT,KNN,-1,-1,manhattan,11,0.8021505376344086,50,-1,-1,3,31
255, KMT,KNN,-1,-1,manhattan,12,0.7744034707158352,60,-1,-1,7,42
256, KMT,KNN,-1,-1,braycurtis,10,0.7954048140043763,70,-1,-1,5,42
257, KMT,KNN,-1,-1,braycurtis,10,0.8211920529801324,80,-1,-1,3,42
258, KMT,KNN,-1,-1,braycurtis,12,0.7850779510022272,90,-1,-1,3,40
259, KMT,KNN,-1,-1,braycurtis,13,0.7764044943820225,100,-1,-1,3,54
260, APH,KNN,-1,-1,manhattan,14,0.7141372141372141,10,-1,-1,3,9
261, APH,KNN,-1,-1,manhattan,14,0.759958071278826,20,-1,-1,5,3
262, APH,KNN,-1,-1,braycurtis,13,0.7970401691331924,30,-1,-1,3,7
263, APH,KNN,-1,-1,manhattan,12,0.8219616204690832,40,-1,-1,3,23
264, APH,KNN,-1,-1,manhattan,10,0.8021505376344086,50,-1,-1,3,25
265, APH,KNN,-1,-1,braycurtis,10,0.8275488069414316,60,-1,-1,3,36
266, APH,KNN,-1,-1,braycurtis,11,0.8205689277899344,70,-1,-1,5,26
267, APH,KNN,-1,-1,manhattan,10,0.8443708609271523,80,-1,-1,5,27
268, APH,KNN,-1,-1,manhattan,12,0.8195991091314031,90,-1,-1,5,69
269, APH,KNN,-1,-1,canberra,10,0.8191011235955056,100,-1,-1,7,66
270, BHP,KNN,-1,-1,braycurtis,16,0.6701352757544224,10,-1,-1,3,0
271, BHP,KNN,-1,-1,manhattan,11,0.7429171038824763,20,-1,-1,3,7
272, BHP,KNN,-1,-1,braycurtis,15,0.7534391534391535,30,-1,-1,3,11
273, BHP,KNN,-1,-1,braycurtis,10,0.8057630736392742,40,-1,-1,3,28
274, BHP,KNN,-1,-1,braycurtis,14,0.7588805166846071,50,-1,-1,5,29
275, BHP,KNN,-1,-1,manhattan,10,0.7817589576547231,60,-1,-1,3,30
276, BHP,KNN,-1,-1,manhattan,12,0.7929901423877328,70,-1,-1,3,30
277, BHP,KNN,-1,-1,braycurtis,10,0.7801104972375691,80,-1,-1,3,41
278, BHP,KNN,-1,-1,manhattan,11,0.7558528428093646,90,-1,-1,3,46
279, BHP,KNN,-1,-1,manhattan,12,0.7435320584926884,100,-1,-1,7,61
280, LAZ,KNN,-1,-1,manhattan,13,0.6656848306332842,10,-1,-1,3,4
281, LAZ,KNN,-1,-1,braycurtis,10,0.7034277198211625,20,-1,-1,3,13
282, LAZ,KNN,-1,-1,braycurtis,10,0.7209653092006033,30,-1,-1,3,15
283, LAZ,KNN,-1,-1,braycurtis,11,0.7129770992366412,40,-1,-1,3,22
