Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
 VSM,KNN,0,0,hamming,all,16.333333333333332,30,-1,27
 VSM,RF,10,10,0,10,19.666666666666668,30,-1,28
 VSM,SVM,0,0,Linear,10,15.666666666666666,30,100,11
 VSM,ZR,0,0,0,0,18.333333333333332,30,-1,28
 VSM,KNN,0,0,chebyshev,all,29.0,40,-1,25
 VSM,RF,10,10,0,10,22.0,40,-1,24
 VSM,SVM,0,0,Linear,10,30.5,40,0.5,24
 VSM,ZR,0,0,0,0,30.5,40,-1,24
 VSM,KNN,0,0,hamming,all,37.0,50,-1,37
 VSM,RF,10,30,0,10,35.0,50,-1,35
 VSM,SVM,0,0,Linear,10,34.0,50,5,34
 VSM,ZR,0,0,0,0,34.0,50,-1,34
 VSM,KNN,0,0,chebyshev,all,44.0,60,-1,44
 VSM,RF,10,50,0,24,40.0,60,-1,40
 VSM,SVM,0,0,Linear,10,37.0,60,0.5,37
 VSM,ZR,0,0,0,0,23.0,60,-1,23
 VSM,KNN,0,0,canberra,all,52.0,70,-1,52
 VSM,RF,50,20,0,15,56.0,70,-1,56
 VSM,SVM,0,0,Linear,10,51.0,70,0.5,51
 VSM,ZR,0,0,0,0,20.0,70,-1,20
 VSM,KNN,0,0,-1,-1,-1,80,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,80,-1,-1
 VSM,ZR,0,0,0,0,nan,80,-1,-1
 VSM,KNN,0,0,-1,-1,-1,90,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,90,-1,-1
 VSM,ZR,0,0,0,0,nan,90,-1,-1
 VSM,KNN,0,0,-1,-1,-1,100,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,100,-1,-1
 VSM,ZR,0,0,0,0,nan,100,-1,-1
 CWEN,KNN,0,0,euclidean,all,7.4,10,-1,10
 CWEN,RF,10,10,0,10,7.2,10,-1,10
