Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AON,RF,10,10,20,0.8545953360768176,20,20
AON,ZR,0,0,0,0,20,20
AON,RF,10,10,20,0.9163179916317992,30,30
AON,ZR,0,0,0,0,30,30
AON,RF,10,10,20,0.9531914893617022,40,40
AON,ZR,0,0,0,0,40,40
AON,RF,10,30,20,0.9292929292929293,50,50
AON,ZR,0,0,0,0,50,50
AON,RF,50,50,20,0.9441997063142438,60,58
AON,ZR,0,0,0,0,60,60
AON,RF,10,50,20,0.9476831091180867,70,70
AON,ZR,0,0,0,0,70,70
AON,RF,10,10,20,0.9497716894977168,80,80
AON,ZR,0,0,0,0,80,80
AON,RF,10,10,20,0.9488372093023256,90,90
AON,ZR,0,0,0,0,90,90
AON,RF,10,10,20,0.9557661927330173,100,100
AON,ZR,0,0,0,0,100,100
APH,RF,10,10,20,0.8245614035087719,10,10
APH,ZR,0,0,0,0,10,10
APH,RF,10,10,20,0.8381344307270233,20,19
APH,ZR,0,0,0,0,20,12
APH,RF,20,50,20,0.9246861924686193,30,20
APH,ZR,0,0,0,0,30,19
APH,RF,10,10,20,0.8567375886524823,40,39
APH,ZR,0,0,0,0,40,39
APH,RF,10,10,20,0.9090909090909091,50,50
APH,ZR,0,0,0,0,50,50
APH,RF,10,10,20,0.933920704845815,60,60
APH,ZR,0,0,0,0,60,60
APH,RF,10,10,20,0.9402092675635276,70,70
APH,ZR,0,0,0,0,70,70
APH,RF,10,10,20,0.9528158295281582,80,80
APH,ZR,0,0,0,0,80,80
APH,RF,10,10,20,0.9488372093023256,90,90
APH,ZR,0,0,0,0,90,90
APH,RF,10,10,20,0.9510268562401264,100,100
APH,ZR,0,0,0,0,100,100
AMG,RF,30,10,20,0.7898465171192444,10,8
AMG,ZR,0,0,0,0,10,7
AMG,RF,10,10,20,0.8526946107784431,20,12
AMG,ZR,0,0,0,0,20,2
AMG,RF,10,40,20,0.905224787363305,30,7
AMG,ZR,0,0,0,0,30,1
AMG,RF,10,30,20,0.9494451294697904,40,19
AMG,ZR,0,0,0,0,40,6
AMG,RF,10,50,20,0.9374217772215269,50,26
AMG,ZR,0,0,0,0,50,1
AMG,RF,10,40,20,0.9542566709021602,60,35
AMG,ZR,0,0,0,0,60,0
AMG,RF,10,20,20,0.9329032258064516,70,39
AMG,ZR,0,0,0,0,70,1
AMG,RF,10,20,20,0.9619921363040629,80,35
AMG,ZR,0,0,0,0,80,0
AMG,RF,10,30,20,0.9494007989347537,90,63
AMG,ZR,0,0,0,0,90,2
AMG,RF,10,10,20,0.9472259810554804,100,68
AMG,ZR,0,0,0,0,100,9
ASX,RF,0,0,20,0,10,error
ASX,ZR,0,0,0,0,10,error
ASX,RF,0,0,20,0,20,error
ASX,ZR,0,0,0,0,20,error
ASX,RF,0,0,20,0,30,error
ASX,ZR,0,0,0,0,30,error
ASX,RF,0,0,20,0,40,error
ASX,ZR,0,0,0,0,40,error
ASX,RF,0,0,20,0,50,error
ASX,ZR,0,0,0,0,50,error
ASX,RF,0,0,20,0,60,error
ASX,ZR,0,0,0,0,60,error
ASX,RF,0,0,20,0,70,error
ASX,ZR,0,0,0,0,70,error
ASX,RF,0,0,20,0,80,error
ASX,ZR,0,0,0,0,80,error
ASX,RF,0,0,20,0,90,error
ASX,ZR,0,0,0,0,90,error
ASX,RF,0,0,20,0,100,error
ASX,ZR,0,0,0,0,100,error
AVNS,RF,10,20,20,0.8620689655172413,10,9
AVNS,ZR,0,0,0,0,10,8
AVNS,RF,20,40,20,0.8666666666666667,20,12
AVNS,ZR,0,0,0,0,20,20
AVNS,RF,30,20,20,0.9523809523809523,30,15
AVNS,ZR,0,0,0,0,30,30
AVNS,RF,10,10,20,0.9411764705882353,40,28
AVNS,ZR,0,0,0,0,40,34
AVNS,RF,10,10,20,0.8717948717948718,50,42
AVNS,ZR,0,0,0,0,50,42
AVNS,RF,10,20,20,0.8888888888888888,60,46
AVNS,ZR,0,0,0,0,60,52
AVNS,RF,10,30,20,0.8,70,61
AVNS,ZR,0,0,0,0,70,54
AVNS,RF,10,10,20,0.3333333333333333,80,72
AVNS,ZR,0,0,0,0,80,8
AVNS,RF,0,0,20,0,90,error
AVNS,ZR,0,0,0,0,90,error
AVNS,RF,0,0,20,0,100,error
AVNS,ZR,0,0,0,0,100,error
AUY,RF,40,20,20,0.8823529411764706,10,10
AUY,ZR,0,0,0,0,10,2
AUY,RF,40,20,20,0.8914100486223663,20,11
AUY,ZR,0,0,0,0,20,3
AUY,RF,10,20,20,0.9173553719008265,30,21
AUY,ZR,0,0,0,0,30,0
AUY,RF,30,10,20,0.897133220910624,40,40
AUY,ZR,0,0,0,0,40,0
AUY,RF,10,10,20,0.8984509466437177,50,50
AUY,ZR,0,0,0,0,50,0
AUY,RF,10,20,20,0.9332161687170475,60,58
AUY,ZR,0,0,0,0,60,15
AUY,RF,10,40,20,0.9174147217235189,70,59
AUY,ZR,0,0,0,0,70,26
AUY,RF,10,40,20,0.9431192660550459,80,52
AUY,ZR,0,0,0,0,80,35
AUY,RF,30,50,20,0.924953095684803,90,51
AUY,ZR,0,0,0,0,90,46
AUY,RF,10,40,20,0.9500959692898272,100,50
AUY,ZR,0,0,0,0,100,50
AU,RF,10,30,20,0.844804318488529,10,7
AU,ZR,0,0,0,0,10,4
AU,RF,10,10,20,0.8326474622770919,20,17
AU,ZR,0,0,0,0,20,17
AU,RF,10,10,20,0.8716875871687587,30,30
AU,ZR,0,0,0,0,30,0
AU,RF,20,10,20,0.873758865248227,40,40
AU,ZR,0,0,0,0,40,40
AU,RF,10,40,20,0.8961038961038961,50,41
AU,ZR,0,0,0,0,50,36
AU,RF,10,10,20,0.8913362701908958,60,43
AU,ZR,0,0,0,0,60,43
AU,RF,10,10,20,0.8923766816143498,70,45
AU,ZR,0,0,0,0,70,57
AU,RF,10,50,20,0.9315068493150684,80,67
AU,ZR,0,0,0,0,80,64
AU,RF,30,30,20,0.924031007751938,90,75
AU,ZR,0,0,0,0,90,52
AU,RF,50,30,20,0.9589257503949447,100,65
AU,ZR,0,0,0,0,100,58
ATO,RF,30,40,20,0.8606847697756789,10,7
ATO,ZR,0,0,0,0,10,5
ATO,RF,10,10,20,0.8502994011976048,20,17
ATO,ZR,0,0,0,0,20,17
ATO,RF,30,10,20,0.905224787363305,30,28
ATO,ZR,0,0,0,0,30,28
ATO,RF,30,10,20,0.8988902589395807,40,22
ATO,ZR,0,0,0,0,40,40
ATO,RF,10,10,20,0.9173967459324155,50,43
ATO,ZR,0,0,0,0,50,50
ATO,RF,10,40,20,0.9250317662007624,60,60
ATO,ZR,0,0,0,0,60,60
ATO,RF,10,10,20,0.9264516129032258,70,70
ATO,ZR,0,0,0,0,70,70
ATO,RF,10,10,20,0.9292267365661862,80,80
ATO,ZR,0,0,0,0,80,80
ATO,RF,10,10,20,0.9507323568575233,90,90
ATO,ZR,0,0,0,0,90,90
ATO,RF,10,10,20,0.9404600811907984,100,100
ATO,ZR,0,0,0,0,100,100
AVB,RF,30,20,20,0.8606847697756789,10,10
AVB,ZR,0,0,0,0,10,10
AVB,RF,30,40,20,0.8934131736526946,20,18
AVB,ZR,0,0,0,0,20,12
AVB,RF,10,50,20,0.9100850546780073,30,22
AVB,ZR,0,0,0,0,30,14
AVB,RF,10,40,20,0.9173859432799013,40,31
AVB,ZR,0,0,0,0,40,28
AVB,RF,20,40,20,0.9274092615769712,50,45
AVB,ZR,0,0,0,0,50,45
AVB,RF,10,10,20,0.9161372299872935,60,60
AVB,ZR,0,0,0,0,60,60
AVB,RF,20,20,20,0.952258064516129,70,70
AVB,ZR,0,0,0,0,70,70
AVB,RF,10,40,20,0.9541284403669725,80,79
AVB,ZR,0,0,0,0,80,79
AVB,RF,50,30,20,0.952063914780293,90,62
AVB,ZR,0,0,0,0,90,90
AVB,RF,20,10,20,0.9336941813261164,100,25
AVB,ZR,0,0,0,0,100,100
ATI,RF,40,30,20,0.8576555023923444,10,9
ATI,ZR,0,0,0,0,10,9
ATI,RF,30,50,20,0.9089805825242718,20,13
ATI,ZR,0,0,0,0,20,4
ATI,RF,20,30,20,0.9199507389162561,30,8
ATI,ZR,0,0,0,0,30,0
ATI,RF,30,30,20,0.9225,40,12
ATI,ZR,0,0,0,0,40,11
ATI,RF,20,20,20,0.9378172588832487,50,13
ATI,ZR,0,0,0,0,50,9
ATI,RF,30,40,20,0.9265463917525774,60,14
ATI,ZR,0,0,0,0,60,2
ATI,RF,20,30,20,0.9358638743455497,70,27
ATI,ZR,0,0,0,0,70,2
ATI,RF,10,40,20,0.9401595744680851,80,46
ATI,ZR,0,0,0,0,80,0
ATI,RF,10,40,20,0.9418918918918919,90,49
ATI,ZR,0,0,0,0,90,11
ATI,RF,30,30,20,0.9505494505494505,100,36
ATI,ZR,0,0,0,0,100,11
ASA,RF,20,50,20,0.8831168831168831,10,8
ASA,ZR,0,0,0,0,10,7
ASA,RF,20,30,20,0.9137724550898204,20,16
ASA,ZR,0,0,0,0,20,16
ASA,RF,10,30,20,0.9149453219927096,30,24
ASA,ZR,0,0,0,0,30,29
ASA,RF,20,30,20,0.9297163995067818,40,40
ASA,ZR,0,0,0,0,40,40
ASA,RF,10,10,20,0.8936170212765957,50,45
ASA,ZR,0,0,0,0,50,50
ASA,RF,30,10,20,0.9135959339263025,60,35
ASA,ZR,0,0,0,0,60,0
ASA,RF,10,10,20,0.927741935483871,70,41
ASA,ZR,0,0,0,0,70,3
ASA,RF,30,40,20,0.9501965923984272,80,71
ASA,ZR,0,0,0,0,80,10
ASA,RF,30,50,20,0.9347536617842876,90,80
ASA,ZR,0,0,0,0,90,9
ASA,RF,40,10,20,0.9404600811907984,100,97
ASA,ZR,0,0,0,0,100,3
BBU,RF,0,0,20,0,10,error
BBU,ZR,0,0,0,0,10,error
BBU,RF,0,0,20,0,20,error
BBU,ZR,0,0,0,0,20,error
BBU,RF,0,0,20,0,30,error
BBU,ZR,0,0,0,0,30,error
BBU,RF,0,0,20,0,40,error
BBU,ZR,0,0,0,0,40,error
BBU,RF,0,0,20,0,50,error
BBU,ZR,0,0,0,0,50,error
BBU,RF,0,0,20,0,60,error
BBU,ZR,0,0,0,0,60,error
BBU,RF,0,0,20,0,70,error
BBU,ZR,0,0,0,0,70,error
BBU,RF,0,0,20,0,80,error
BBU,ZR,0,0,0,0,80,error
BBU,RF,0,0,20,0,90,error
BBU,ZR,0,0,0,0,90,error
BBU,RF,0,0,20,0,100,error
BBU,ZR,0,0,0,0,100,error
BBF,RF,0,0,20,0,10,error
BBF,ZR,0,0,0,0,10,error
BBF,RF,0,0,20,0,20,error
BBF,ZR,0,0,0,0,20,error
BBF,RF,0,0,20,0,30,error
BBF,ZR,0,0,0,0,30,error
BBF,RF,0,0,20,0,40,error
BBF,ZR,0,0,0,0,40,error
BBF,RF,0,0,20,0,50,error
BBF,ZR,0,0,0,0,50,error
BBF,RF,0,0,20,0,60,error
BBF,ZR,0,0,0,0,60,error
BBF,RF,0,0,20,0,70,error
BBF,ZR,0,0,0,0,70,error
BBF,RF,0,0,20,0,80,error
