Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AHT,RF,20,10,20,0.7961672473867596,60,49
AHT,ZR,0,0,0,0,60,11
AHT,RF,50,40,20,0.8692579505300353,70,65
AHT,ZR,0,0,0,0,70,7
AHT,RF,40,20,20,0.8315412186379928,80,53
AHT,ZR,0,0,0,0,80,19
AHT,RF,50,20,20,0.8454545454545455,90,64
AHT,ZR,0,0,0,0,90,50
AKR,RF,10,10,20,0.7955665024630542,10,9
AKR,ZR,0,0,0,0,10,9
AKR,RF,10,30,20,0.8072139303482587,20,16
AKR,ZR,0,0,0,0,20,16
AKR,RF,30,10,20,0.8316582914572864,30,19
AKR,ZR,0,0,0,0,30,12
AKR,RF,10,40,20,0.8362944162436549,40,26
AKR,ZR,0,0,0,0,40,12
AKR,RF,30,40,20,0.8653846153846154,50,36
AKR,ZR,0,0,0,0,50,25
AKR,RF,30,10,20,0.844559585492228,60,41
AKR,ZR,0,0,0,0,60,14
AKR,RF,40,10,20,0.8429319371727748,70,43
