Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
 SMLP,SVM,0,0,Linear,20,56.5,100,0.5,-1
 SMLP,ZR,0,0,0,0,44.0,100,-1,-1
 MN,SVM,0,0,Linear,25,5.4,10,100,-1
 MN,ZR,0,0,0,0,2.8,10,-1,-1
 MN,SVM,0,0,Linear,15,11.7,20,100,-1
 MN,ZR,0,0,0,0,9.8,20,-1,-1
 MN,SVM,0,0,Linear,10,13.3,30,1,-1
 MN,ZR,0,0,0,0,13.9,30,-1,-1
 MN,SVM,0,0,Linear,10,23.5,40,100,-1
 MN,ZR,0,0,0,0,13.5,40,-1,-1
 MN,SVM,0,0,Linear,10,25.0,50,0.5,-1
 MN,ZR,0,0,0,0,19.5,50,-1,-1
 MN,SVM,0,0,Linear,10,34.0,60,100,-1
 MN,ZR,0,0,0,0,27.6,60,-1,-1
 MN,SVM,0,0,Linear,10,41.0,70,0.5,-1
 MN,ZR,0,0,0,0,29.0,70,-1,-1
 MN,SVM,0,0,Linear,10,43.333333333333336,80,5,-1
 MN,ZR,0,0,0,0,37.666666666666664,80,-1,-1
 MN,SVM,0,0,Linear,10,51.666666666666664,90,0.5,-1
 MN,ZR,0,0,0,0,38.333333333333336,90,-1,-1
 MN,SVM,0,0,Linear,10,61.0,100,10,-1
 MN,ZR,0,0,0,0,39.666666666666664,100,-1,-1
 INXN,SVM,0,0,Linear,10,8.3,10,0.5,-1
 INXN,ZR,0,0,0,0,8.3,10,-1,-1
 INXN,SVM,0,0,Linear,10,12.1,20,100,-1
 INXN,ZR,0,0,0,0,9.1,20,-1,-1
 INXN,SVM,0,0,Linear,10,17.8,30,0.5,-1
 INXN,ZR,0,0,0,0,15.6,30,-1,-1
 INXN,SVM,0,0,Linear,10,25.0,40,5,-1
 INXN,ZR,0,0,0,0,23.22222222222222,40,-1,-1
 INXN,SVM,0,0,Linear,15,29.571428571428573,50,0.5,-1
 INXN,ZR,0,0,0,0,31.571428571428573,50,-1,-1
 INXN,SVM,0,0,Linear,10,35.833333333333336,60,1,-1
 INXN,ZR,0,0,0,0,38.833333333333336,60,-1,-1
 INXN,SVM,0,0,Linear,10,50.6,70,0.5,-1
 INXN,ZR,0,0,0,0,50.6,70,-1,-1
 INXN,SVM,0,0,Linear,10,62.0,80,100,-1
 INXN,ZR,0,0,0,0,61.0,80,-1,-1
 INXN,SVM,0,0,Linear,10,70.66666666666667,90,0.5,-1
 INXN,ZR,0,0,0,0,70.66666666666667,90,-1,-1
 INXN,SVM,0,0,Linear,10,82.33333333333333,100,0.5,-1
 INXN,ZR,0,0,0,0,82.33333333333333,100,-1,-1
 AGRO,SVM,0,0,Linear,15,6.4,10,100,-1
 AGRO,ZR,0,0,0,0,6.3,10,-1,-1
 AGRO,SVM,0,0,Linear,10,11.4,20,100,-1
 AGRO,ZR,0,0,0,0,8.9,20,-1,-1
 AGRO,SVM,0,0,Linear,20,18.0,30,100,-1
 AGRO,ZR,0,0,0,0,16.7,30,-1,-1
 AGRO,SVM,0,0,Linear,15,28.22222222222222,40,10,-1
 AGRO,ZR,0,0,0,0,24.11111111111111,40,-1,-1
 AGRO,SVM,0,0,Linear,20,27.285714285714285,50,5,-1
 AGRO,ZR,0,0,0,0,29.571428571428573,50,-1,-1
 AGRO,SVM,0,0,Linear,10,33.333333333333336,60,10,-1
 AGRO,ZR,0,0,0,0,34.166666666666664,60,-1,-1
 AGRO,SVM,0,0,Linear,10,38.4,70,1,-1
 AGRO,ZR,0,0,0,0,36.6,70,-1,-1
 AGRO,SVM,0,0,Linear,20,45.5,80,0.5,-1
 AGRO,ZR,0,0,0,0,42.25,80,-1,-1
 AGRO,SVM,0,0,Linear,15,60.0,90,100,-1
 AGRO,ZR,0,0,0,0,50.0,90,-1,-1
 AGRO,SVM,0,0,Linear,20,59.666666666666664,100,0.5,-1
 AGRO,ZR,0,0,0,0,56.333333333333336,100,-1,-1
 AHC,SVM,0,0,Linear,10,6.2,10,0.5,-1
 AHC,ZR,0,0,0,0,6.2,10,-1,-1
 AHC,SVM,0,0,Linear,15,11.0,20,0.5,-1
 AHC,ZR,0,0,0,0,8.2,20,-1,-1
 AHC,SVM,0,0,Linear,10,16.5,30,100,-1
 AHC,ZR,0,0,0,0,12.4,30,-1,-1
 AHC,SVM,0,0,Linear,10,22.1,40,10,-1
 AHC,ZR,0,0,0,0,15.4,40,-1,-1
 AHC,SVM,0,0,Linear,10,37.1,50,10,-1
 AHC,ZR,0,0,0,0,17.1,50,-1,-1
 AHC,SVM,0,0,Linear,10,39.75,60,100,-1
 AHC,ZR,0,0,0,0,14.125,60,-1,-1
 AHC,SVM,0,0,Linear,20,26.428571428571427,70,10,-1
 AHC,ZR,0,0,0,0,20.428571428571427,70,-1,-1
 AHC,SVM,0,0,Linear,10,37.333333333333336,80,10,-1
 AHC,ZR,0,0,0,0,31.5,80,-1,-1
 AHC,SVM,0,0,Linear,20,44.2,90,0.5,-1
 AHC,ZR,0,0,0,0,21.4,90,-1,-1
 AHC,SVM,0,0,Linear,10,43.0,100,5,-1
 AHC,ZR,0,0,0,0,21.25,100,-1,-1
 CO,SVM,0,0,Linear,20,4.5,10,100,-1
 CO,ZR,0,0,0,0,3.9,10,-1,-1
 CO,SVM,0,0,Linear,10,13.1,20,10,-1
 CO,ZR,0,0,0,0,9.1,20,-1,-1
 CO,SVM,0,0,Linear,15,20.7,30,5,-1
 CO,ZR,0,0,0,0,12.0,30,-1,-1
 CO,SVM,0,0,Linear,10,24.5,40,0.5,-1
 CO,ZR,0,0,0,0,16.7,40,-1,-1
 CO,SVM,0,0,Linear,15,27.9,50,0.5,-1
 CO,ZR,0,0,0,0,21.0,50,-1,-1
 CO,SVM,0,0,Linear,10,34.75,60,100,-1
 CO,ZR,0,0,0,0,25.5,60,-1,-1
 CO,SVM,0,0,Linear,10,39.0,70,10,-1
 CO,ZR,0,0,0,0,27.571428571428573,70,-1,-1
 CO,SVM,0,0,Linear,10,37.5,80,0.5,-1
 CO,ZR,0,0,0,0,32.833333333333336,80,-1,-1
 CO,SVM,0,0,Linear,15,45.2,90,1,-1
 CO,ZR,0,0,0,0,36.4,90,-1,-1
 CO,SVM,0,0,Linear,10,58.4,100,100,-1
 CO,ZR,0,0,0,0,44.0,100,-1,-1
 CBS,SVM,0,0,Linear,10,6.4,10,100,-1
 CBS,ZR,0,0,0,0,6.0,10,-1,-1
 CBS,SVM,0,0,Linear,20,9.5,20,5,-1
 CBS,ZR,0,0,0,0,6.8,20,-1,-1
 CBS,SVM,0,0,Linear,10,18.6,30,100,-1
 CBS,ZR,0,0,0,0,14.0,30,-1,-1
 CBS,SVM,0,0,Linear,25,29.0,40,100,-1
 CBS,ZR,0,0,0,0,18.1,40,-1,-1
 CBS,SVM,0,0,Linear,10,24.9,50,0.5,-1
 CBS,ZR,0,0,0,0,22.9,50,-1,-1
 CBS,SVM,0,0,Linear,15,32.5,60,100,-1
 CBS,ZR,0,0,0,0,33.4,60,-1,-1
 CBS,SVM,0,0,Linear,10,39.25,70,0.5,-1
 CBS,ZR,0,0,0,0,40.25,70,-1,-1
 CBS,SVM,0,0,Linear,10,45.285714285714285,80,5,-1
 CBS,ZR,0,0,0,0,46.714285714285715,80,-1,-1
 CBS,SVM,0,0,Linear,10,52.5,90,1,-1
 CBS,ZR,0,0,0,0,52.666666666666664,90,-1,-1
 CBS,SVM,0,0,Linear,10,59.166666666666664,100,5,-1
 CBS,ZR,0,0,0,0,60.0,100,-1,-1
 WIA,SVM,0,0,Linear,10,10.0,10,0.5,-1
 WIA,ZR,0,0,0,0,10.0,10,-1,-1
 WIA,SVM,0,0,Linear,10,20.0,20,0.5,-1
 WIA,ZR,0,0,0,0,20.0,20,-1,-1
 WIA,SVM,0,0,Linear,10,28.5,30,0.5,-1
 WIA,ZR,0,0,0,0,28.5,30,-1,-1
 WIA,SVM,0,0,Linear,10,37.1,40,0.5,-1
 WIA,ZR,0,0,0,0,37.1,40,-1,-1
 WIA,SVM,0,0,Linear,10,44.3,50,0.5,-1
 WIA,ZR,0,0,0,0,44.3,50,-1,-1
 WIA,SVM,0,0,Linear,10,52.6,60,0.5,-1
 WIA,ZR,0,0,0,0,52.6,60,-1,-1
 WIA,SVM,0,0,Linear,10,57.8,70,0.5,-1
 WIA,ZR,0,0,0,0,57.8,70,-1,-1
 WIA,SVM,0,0,Linear,10,60.333333333333336,80,100,-1
 WIA,ZR,0,0,0,0,60.0,80,-1,-1
 WIA,SVM,0,0,Linear,10,65.375,90,0.5,-1
 WIA,ZR,0,0,0,0,65.75,90,-1,-1
 WIA,SVM,0,0,Linear,10,69.0,100,0.5,-1
 WIA,ZR,0,0,0,0,71.42857142857143,100,-1,-1
 ABR,SVM,0,0,Linear,10,8.4,10,1,-1
 ABR,ZR,0,0,0,0,8.4,10,-1,-1
 ABR,SVM,0,0,Linear,10,11.4,20,100,-1
 ABR,ZR,0,0,0,0,7.6,20,-1,-1
 ABR,SVM,0,0,Linear,10,22.7,30,100,-1
 ABR,ZR,0,0,0,0,20.3,30,-1,-1
 ABR,SVM,0,0,Linear,15,29.3,40,1,-1
 ABR,ZR,0,0,0,0,28.7,40,-1,-1
 ABR,SVM,0,0,Linear,10,30.8,50,10,-1
 ABR,ZR,0,0,0,0,30.8,50,-1,-1
 ABR,SVM,0,0,Linear,10,34.8,60,100,-1
 ABR,ZR,0,0,0,0,37.0,60,-1,-1
 ABR,SVM,0,0,Linear,15,50.2,70,0.5,-1
 ABR,ZR,0,0,0,0,50.2,70,-1,-1
 ABR,SVM,0,0,Linear,10,58.25,80,10,-1
 ABR,ZR,0,0,0,0,58.0,80,-1,-1
 ABR,SVM,0,0,Linear,10,67.71428571428571,90,0.5,-1
 ABR,ZR,0,0,0,0,68.57142857142857,90,-1,-1
 ABR,SVM,0,0,Linear,20,72.66666666666667,100,0.5,-1
 ABR,ZR,0,0,0,0,77.33333333333333,100,-1,-1
 ET,SVM,0,0,Linear,10,7.7,10,0.5,-1
 ET,ZR,0,0,0,0,7.9,10,-1,-1
 ET,SVM,0,0,Linear,10,10.6,20,100,-1
 ET,ZR,0,0,0,0,4.3,20,-1,-1
 ET,SVM,0,0,Linear,10,21.4,30,100,-1
 ET,ZR,0,0,0,0,13.3,30,-1,-1
 ET,SVM,0,0,Linear,15,26.9,40,10,-1
 ET,ZR,0,0,0,0,20.6,40,-1,-1
 ET,SVM,0,0,Linear,10,28.9,50,1,-1
 ET,ZR,0,0,0,0,22.8,50,-1,-1
 ET,SVM,0,0,Linear,25,30.7,60,100,-1
 ET,ZR,0,0,0,0,26.5,60,-1,-1
 ET,SVM,0,0,Linear,20,31.7,70,0.5,-1
 ET,ZR,0,0,0,0,32.9,70,-1,-1
 ET,SVM,0,0,Linear,25,40.0,80,0.5,-1
 ET,ZR,0,0,0,0,35.5,80,-1,-1
 ET,SVM,0,0,Linear,15,45.333333333333336,90,1,-1
 ET,ZR,0,0,0,0,39.44444444444444,90,-1,-1
 ET,SVM,0,0,Linear,15,43.75,100,0.5,-1
 ET,ZR,0,0,0,0,42.375,100,-1,-1
 CNX,SVM,0,0,Linear,10,5.3,10,10,-1
 CNX,ZR,0,0,0,0,1.7,10,-1,-1
 CNX,SVM,0,0,Linear,15,13.0,20,10,-1
 CNX,ZR,0,0,0,0,5.4,20,-1,-1
 CNX,SVM,0,0,Linear,10,20.9,30,1,-1
 CNX,ZR,0,0,0,0,10.0,30,-1,-1
 CNX,SVM,0,0,Linear,10,26.2,40,5,-1
 CNX,ZR,0,0,0,0,16.8,40,-1,-1
 CNX,SVM,0,0,Linear,25,26.8,50,10,-1
 CNX,ZR,0,0,0,0,21.4,50,-1,-1
 CNX,SVM,0,0,Linear,10,30.6,60,100,-1
 CNX,ZR,0,0,0,0,27.0,60,-1,-1
 CNX,SVM,0,0,Linear,15,38.0,70,100,-1
 CNX,ZR,0,0,0,0,34.5,70,-1,-1
 CNX,SVM,0,0,Linear,15,38.0,80,0.5,-1
 CNX,ZR,0,0,0,0,38.4,80,-1,-1
 CNX,SVM,0,0,Linear,10,46.2,90,1,-1
 CNX,ZR,0,0,0,0,41.8,90,-1,-1
 CNX,SVM,0,0,Linear,10,55.888888888888886,100,10,-1
 CNX,ZR,0,0,0,0,46.888888888888886,100,-1,-1
 AU,SVM,0,0,Linear,10,6.1,10,100,-1
 AU,ZR,0,0,0,0,4.2,10,-1,-1
