Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 APH,SVM,-1,-1,linear,21.0,0.5412147505422994,60,100.0,1.0,-1.0,45.0
 APH,KNN,-1,-1,braycurtis,15.0,0.7147505422993492,60,-1.0,-1.0,7.0,46.0
 APH,SVM,-1,-1,linear,18.0,0.4606126914660832,70,100.0,1.0,-1.0,58.0
 APH,KNN,-1,-1,manhattan,10.0,0.7855579868708972,70,-1.0,-1.0,3.0,45.0
 APH,SVM,-1,-1,linear,21.0,0.543046357615894,80,100.0,1.0,-1.0,37.0
 APH,KNN,-1,-1,hamming,13.0,0.5496688741721855,80,-1.0,-1.0,3.0,54.0
 APH,SVM,-1,-1,poly,23.0,0.6069042316258352,90,10.0,4.0,-1.0,70.0
 APH,KNN,-1,-1,chebyshev,13.0,0.7338530066815144,90,-1.0,-1.0,11.0,75.0
 APH,SVM,-1,-1,linear,17.0,0.5831460674157304,100,100.0,1.0,-1.0,87.0
 APH,KNN,-1,-1,manhattan,10.0,0.8056179775280898,100,-1.0,-1.0,11.0,88.0
 KMT,SVM,-1,-1,poly,23.0,0.5582120582120582,10,5.0,1.0,-1.0,7.0
 KMT,KNN,-1,-1,canberra,11.0,0.5966735966735967,10,-1.0,-1.0,7.0,9.0
 KMT,SVM,-1,-1,rbf,23.0,0.5880503144654088,20,1.0,1.0,-1.0,17.0
 KMT,KNN,-1,-1,hamming,10.0,0.5083857442348009,20,-1.0,-1.0,3.0,17.0
 KMT,SVM,-1,-1,rbf,23.0,0.5940803382663847,30,5.0,1.0,-1.0,21.0
 KMT,KNN,-1,-1,hamming,23.0,0.5031712473572939,30,-1.0,-1.0,11.0,23.0
 KMT,SVM,-1,-1,linear,16.0,0.5831556503198294,40,100.0,1.0,-1.0,28.0
 KMT,KNN,-1,-1,hamming,15.0,0.5149253731343284,40,-1.0,-1.0,5.0,29.0
 KMT,SVM,-1,-1,linear,22.0,0.5494623655913978,50,100.0,1.0,-1.0,34.0
 KMT,KNN,-1,-1,braycurtis,10.0,0.7419354838709677,50,-1.0,-1.0,7.0,39.0
 KMT,SVM,-1,-1,linear,21.0,0.5401301518438177,60,100.0,1.0,-1.0,34.0
 KMT,KNN,-1,-1,braycurtis,13.0,0.6334056399132321,60,-1.0,-1.0,7.0,46.0
 KMT,SVM,-1,-1,linear,20.0,0.5426695842450766,70,100.0,1.0,-1.0,47.0
 KMT,KNN,-1,-1,euclidean,13.0,0.6641137855579868,70,-1.0,-1.0,11.0,59.0
 KMT,SVM,-1,-1,linear,21.0,0.5143487858719646,80,100.0,1.0,-1.0,61.0
 KMT,KNN,-1,-1,euclidean,11.0,0.6721854304635762,80,-1.0,-1.0,5.0,64.0
 KMT,SVM,-1,-1,linear,12.0,0.5679287305122495,90,100.0,1.0,-1.0,53.0
 KMT,KNN,-1,-1,chebyshev,10.0,0.6948775055679287,90,-1.0,-1.0,7.0,63.0
 KMT,SVM,-1,-1,linear,18.0,0.5134831460674157,100,100.0,1.0,-1.0,62.0
 KMT,KNN,-1,-1,chebyshev,15.0,0.597752808988764,100,-1.0,-1.0,3.0,70.0
 BHP,SVM,-1,-1,linear,17.0,0.5463059313215399,10,100.0,1.0,-1.0,10.0
 BHP,KNN,-1,-1,hamming,14.0,0.4734651404786681,10,-1.0,-1.0,11.0,10.0
 BHP,SVM,-1,-1,linear,21.0,0.4396642182581321,20,100.0,1.0,-1.0,17.0
 BHP,KNN,-1,-1,hamming,17.0,0.5697796432318992,20,-1.0,-1.0,9.0,16.0
 BHP,SVM,-1,-1,linear,23.0,0.5195767195767196,30,100.0,1.0,-1.0,20.0
 BHP,KNN,-1,-1,hamming,14.0,0.5005291005291005,30,-1.0,-1.0,3.0,23.0
 BHP,SVM,-1,-1,linear,10.0,0.6552828175026679,40,10.0,1.0,-1.0,40.0
 BHP,KNN,-1,-1,hamming,14.0,0.544290288153682,40,-1.0,-1.0,11.0,40.0
 BHP,SVM,-1,-1,linear,11.0,0.5705059203444564,50,100.0,1.0,-1.0,50.0
 BHP,KNN,-1,-1,hamming,10.0,0.5199138858988159,50,-1.0,-1.0,3.0,50.0
 BHP,SVM,-1,-1,poly,23.0,0.5722041259500543,60,100.0,4.0,-1.0,40.0
 BHP,KNN,-1,-1,canberra,12.0,0.6340933767643865,60,-1.0,-1.0,9.0,46.0
 BHP,SVM,-1,-1,linear,16.0,0.5158817086527929,70,100.0,1.0,-1.0,45.0
 BHP,KNN,-1,-1,hamming,11.0,0.4841182913472071,70,-1.0,-1.0,11.0,52.0
 BHP,SVM,-1,-1,poly,23.0,0.569060773480663,80,10.0,4.0,-1.0,42.0
 BHP,KNN,-1,-1,canberra,10.0,0.7359116022099448,80,-1.0,-1.0,3.0,51.0
 BHP,SVM,-1,-1,linear,21.0,0.49609810479375704,90,100.0,1.0,-1.0,57.0
 BHP,KNN,-1,-1,manhattan,15.0,0.6142697881828316,90,-1.0,-1.0,5.0,65.0
 BHP,SVM,-1,-1,linear,20.0,0.5421822272215973,100,10.0,1.0,-1.0,70.0
 BHP,KNN,-1,-1,braycurtis,18.0,0.5703037120359955,100,-1.0,-1.0,11.0,74.0
 CUZ,SVM,-1,-1,linear,15.0,0.577962577962578,10,100.0,1.0,-1.0,10.0
