Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 AMP,KNN,0,0,hamming,0,0.5054229934924078,70,40
 AMG,KNN,0,0,euclidean,0,0.6199740596627756,60,54
 AON,KNN,0,0,hamming,0,0.5590142671854734,60,33
 APH,KNN,0,0,euclidean,0,0.6472114137483788,60,38
 ALK,KNN,0,0,canberra,0,0.7125827814569536,80,56
 AMP,KNN,0,0,euclidean,0,0.6247240618101545,80,52
 AMG,KNN,0,0,hamming,0,0.528178243774574,70,41
 AON,KNN,0,0,canberra,0,0.7378768020969856,70,52
 APH,KNN,0,0,hamming,0,0.5937090432503277,70,38
 ALK,KNN,0,0,euclidean,0,0.607764390896921,90,59
 AMP,KNN,0,0,hamming,0,0.5528089887640449,90,66
 AMG,KNN,0,0,euclidean,0,0.6596026490066225,80,58
 APH,KNN,0,0,euclidean,0,0.6728476821192053,80,48
 AON,KNN,0,0,euclidean,0,0.686092715231788,80,71
 ALK,KNN,0,0,euclidean,0,0.6170500676589986,100,57
 AMP,KNN,0,0,hamming,0,0.5308924485125858,100,67
 AMG,KNN,0,0,euclidean,0,0.6224899598393574,90,65
 APH,KNN,0,0,manhattan,0,0.714859437751004,90,68
 AON,KNN,0,0,canberra,0,0.7724230254350736,90,65
 AMG,KNN,0,0,euclidean,0,0.652232746955345,100,87
 APH,KNN,0,0,canberra,0,0.7401894451962111,100,76
 AON,KNN,0,0,manhattan,0,0.7658998646820027,100,63
 AVNS,KNN,0,0,canberra,0,0.5882352941176471,10,7
 AUY,KNN,0,0,hamming,0,0.48148148148148145,10,10
 ASX,KNN,0,0,euclidean,0,0.4947089947089947,10,7
 ATI,KNN,0,0,euclidean,0,0.5093632958801498,10,10
 ASA,KNN,0,0,braycurtis,0,0.5511713933415536,10,6
 ATO,KNN,0,0,euclidean,0,0.8101109741060419,10,10
 AVB,KNN,0,0,manhattan,0,0.6769420468557337,10,10
 AU,KNN,0,0,euclidean,0,0.4932182490752158,10,9
 AVNS,KNN,0,0,canberra,0,0.8372093023255814,20,11
 AUY,KNN,0,0,euclidean,0,0.6023890784982935,20,16
 AVNS,KNN,0,0,braycurtis,0,0.8285714285714286,30,21
 ASX,KNN,0,0,euclidean,0,0.5467914438502673,20,18
 ASA,KNN,0,0,braycurtis,0,0.589041095890411,20,20
 ATI,KNN,0,0,euclidean,0,0.605296343001261,20,16
 ATO,KNN,0,0,euclidean,0,0.5765877957658779,20,14
 AU,KNN,0,0,hamming,0,0.5006226650062267,20,20
 AVB,KNN,0,0,chebyshev,0,0.5143212951432129,20,20
 AVNS,KNN,0,0,braycurtis,0,0.7777777777777778,40,32
 AUY,KNN,0,0,euclidean,0,0.5778546712802768,30,27
 ASX,KNN,0,0,hamming,0,0.48243243243243245,30,19
 AVNS,KNN,0,0,euclidean,0,1.0,50,28
 ATO,KNN,0,0,euclidean,0,0.5836477987421383,30,30
 ATI,KNN,0,0,braycurtis,0,0.5898089171974522,30,18
 ASA,KNN,0,0,canberra,0,0.6427672955974842,30,19
 AU,KNN,0,0,euclidean,0,0.6088050314465409,30,19
 AVB,KNN,0,0,manhattan,0,0.5823899371069182,30,15
 AUY,KNN,0,0,braycurtis,0,0.6473684210526316,40,25
 AVNS,KNN,0,0,euclidean,0,1.0,60,57
 ASX,KNN,0,0,braycurtis,0,0.6243169398907104,40,36
 ATI,KNN,0,0,braycurtis,0,0.61003861003861,40,25
 ATO,KNN,0,0,manhattan,0,0.6493011435832274,40,24
 AVNS,KNN,0,0,euclidean,0,1.0,70,13
 AU,KNN,0,0,manhattan,0,0.6416772554002541,40,23
 AVB,KNN,0,0,euclidean,0,0.5743329097839899,40,23
 AVNS,KNN,0,0,error,0,-1,80,-1
 ASA,KNN,0,0,hamming,0,0.5438373570520966,40,21
 AVNS,KNN,0,0,error,0,-1,90,-1
 AVNS,KNN,0,0,error,0,-1,100,-1
 AUY,KNN,0,0,manhattan,0,0.599644128113879,50,41
 ASX,KNN,0,0,hamming,0,0.5317679558011049,50,30
 ATI,KNN,0,0,braycurtis,0,0.6046814044213265,50,36
 ATO,KNN,0,0,euclidean,0,0.5879332477535302,50,32
 AVB,KNN,0,0,braycurtis,0,0.675224646983312,50,33
 ASA,KNN,0,0,euclidean,0,0.582798459563543,50,45
 AU,KNN,0,0,euclidean,0,0.5994865211810013,50,43
 AUY,KNN,0,0,canberra,0,0.6534296028880866,60,40
 ASX,KNN,0,0,euclidean,0,0.6047486033519553,60,43
 ATO,KNN,0,0,hamming,0,0.49286640726329445,60,23
 ATI,KNN,0,0,euclidean,0,0.59526938239159,60,48
 AUY,KNN,0,0,braycurtis,0,0.6190476190476191,70,41
 AU,KNN,0,0,euclidean,0,0.5745784695201037,60,53
 AVB,KNN,0,0,canberra,0,0.6588845654993515,60,40
 ASA,KNN,0,0,manhattan,0,0.6212710765239948,60,41
 ASX,KNN,0,0,euclidean,0,0.6242937853107344,70,60
 AUY,KNN,0,0,canberra,0,0.6412639405204461,80,47
 ATI,KNN,0,0,canberra,0,0.6387782204515272,70,36
 ATO,KNN,0,0,canberra,0,0.7431192660550459,70,59
 AU,KNN,0,0,braycurtis,0,0.6199213630406291,70,55
 AVB,KNN,0,0,euclidean,0,0.6526867627785059,70,49
 ASA,KNN,0,0,hamming,0,0.5019659239842726,70,41
 ASX,KNN,0,0,euclidean,0,0.5871428571428572,80,47
 AUY,KNN,0,0,braycurtis,0,0.6188679245283019,90,56
 ATI,KNN,0,0,canberra,0,0.6375838926174496,80,50
 ATO,KNN,0,0,euclidean,0,0.6728476821192053,80,80
 AU,KNN,0,0,euclidean,0,0.5629139072847682,80,50
 AVB,KNN,0,0,euclidean,0,0.6649006622516557,80,68
 ASA,KNN,0,0,euclidean,0,0.6198675496688741,80,61
 ASX,KNN,0,0,euclidean,0,0.5852601156069365,90,53
 AUY,KNN,0,0,braycurtis,0,0.6149425287356322,100,67
 ATI,KNN,0,0,braycurtis,0,0.6431478968792401,90,55
 ATO,KNN,0,0,canberra,0,0.7871485943775101,90,87
 AU,KNN,0,0,hamming,0,0.5327978580990629,90,60
 AVB,KNN,0,0,euclidean,0,0.6305220883534136,90,85
 ASA,KNN,0,0,hamming,0,0.5341365461847389,90,48
 ASX,KNN,0,0,braycurtis,0,0.6286549707602339,100,60
 ATI,KNN,0,0,canberra,0,0.644718792866941,100,61
 AU,KNN,0,0,canberra,0,0.6048714479025711,100,67
 ATO,KNN,0,0,euclidean,0,0.6684709066305818,100,97
 AVB,KNN,0,0,euclidean,0,0.6562922868741543,100,93
 ASA,KNN,0,0,hamming,0,0.516914749661705,100,70
 BBU,KNN,0,0,error,0,-1,10,-1
 BBU,KNN,0,0,error,0,-1,20,-1
 BBU,KNN,0,0,error,0,-1,30,-1
 BBU,KNN,0,0,error,0,-1,40,-1
 BBU,KNN,0,0,error,0,-1,50,-1
 BBU,KNN,0,0,error,0,-1,60,-1
 BBU,KNN,0,0,error,0,-1,70,-1
 BBU,KNN,0,0,error,0,-1,80,-1
 BBU,KNN,0,0,error,0,-1,90,-1
 BBU,KNN,0,0,error,0,-1,100,-1
 BBF,KNN,0,0,manhattan,0,0.9046283309957924,10,10
 AXE,KNN,0,0,hamming,0,0.4759556103575832,10,6
 BBY,KNN,0,0,manhattan,0,0.5055487053020962,10,8
 BBX,KNN,0,0,manhattan,0,0.5153061224489796,10,8
 AVY,KNN,0,0,manhattan,0,0.6905055487053021,10,4
 BDC,KNN,0,0,euclidean,0,0.5437731196054254,10,8
 BCE,KNN,0,0,manhattan,0,0.815043156596794,10,10
