Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
 RRTS,RF,10,40,0,25,0.8204419889502762,100,-1,58
 ENIA,RF,10,10,0,10,0.7577319587628866,10,-1,5
 ENIA,RF,20,10,0,10,0.8056133056133056,20,-1,18
 ENIA,RF,40,20,0,25,0.8228511530398323,30,-1,28
 ENIA,RF,10,10,0,25,0.8107822410147991,40,-1,32
 ENIA,RF,40,10,0,15,0.8614072494669509,50,-1,50
 ENIA,RF,20,50,0,10,0.8946236559139785,60,-1,49
 ENIA,RF,20,50,0,15,0.8915401301518439,70,-1,50
 ENIA,RF,10,30,0,15,0.87527352297593,80,-1,43
 ENIA,RF,10,50,0,25,0.8741721854304636,90,-1,68
 ENIA,RF,10,40,0,25,0.8652561247216035,100,-1,48
 EV,RF,10,30,0,10,0.7835051546391752,10,-1,6
 EV,RF,20,50,0,10,0.8066528066528067,20,-1,17
 EV,RF,40,10,0,20,0.7746331236897275,30,-1,25
 EV,RF,10,30,0,20,0.8266384778012685,40,-1,23
 EV,RF,50,40,0,10,0.8891257995735607,50,-1,49
 EV,RF,30,40,0,15,0.878494623655914,60,-1,55
 EV,RF,40,30,0,10,0.8937093275488069,70,-1,65
 EV,RF,10,30,0,25,0.8599562363238512,80,-1,40
 EV,RF,10,40,0,10,0.869757174392936,90,-1,78
 EV,RF,20,20,0,28,0.8652561247216035,100,-1,60
 PKX,RF,10,10,0,20,0.6402061855670103,10,-1,10
 PKX,RF,10,40,0,25,0.7733887733887734,20,-1,8
 PKX,RF,20,10,0,25,0.7788259958071279,30,-1,27
 PKX,RF,10,50,0,10,0.8393234672304439,40,-1,27
 PKX,RF,10,50,0,20,0.8368869936034116,50,-1,23
 PKX,RF,10,10,0,10,0.7967741935483871,60,-1,43
 PKX,RF,10,40,0,10,0.8741865509761388,70,-1,48
 PKX,RF,10,40,0,25,0.8522975929978118,80,-1,31
 PKX,RF,10,30,0,10,0.8653421633554084,90,-1,45
 PKX,RF,10,40,0,10,0.8641425389755011,100,-1,36
 S,RF,30,30,0,10,0.7608247422680412,10,-1,9
 S,RF,10,30,0,28,0.7858627858627859,20,-1,14
 S,RF,10,40,0,20,0.8050314465408805,30,-1,23
 S,RF,10,50,0,20,0.8234672304439746,40,-1,25
 S,RF,30,40,0,20,0.835820895522388,50,-1,40
 S,RF,10,30,0,15,0.8290322580645161,60,-1,22
 S,RF,10,30,0,20,0.8199566160520607,70,-1,45
 S,RF,40,20,0,25,0.8512035010940919,80,-1,74
 S,RF,30,30,0,20,0.8300220750551877,90,-1,87
 S,RF,30,30,0,10,0.8496659242761693,100,-1,80
 SJIU,RF,10,10,0,10,0.8181818181818182,10,-1,6
 SJIU,RF,10,40,0,10,0.92,20,-1,11
 SJIU,RF,50,10,0,10,0.7647058823529411,30,-1,26
 SJIU,RF,30,50,0,28,1.0,40,-1,22
 SJIU,RF,10,10,0,10,1.0,50,-1,17
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SWP,RF,10,50,0,20,0.8703703703703703,10,-1,6
 SWP,RF,10,10,0,10,0.72,20,-1,9
 SWP,RF,10,50,0,10,0.8586956521739131,30,-1,15
 SWP,RF,40,50,0,10,0.7857142857142857,40,-1,26
 SWP,RF,10,20,0,28,0.7763157894736842,50,-1,20
 SWP,RF,20,30,0,10,0.8970588235294118,60,-1,41
 SWP,RF,10,20,0,25,0.8333333333333334,70,-1,45
 SWP,RF,20,10,0,10,0.9230769230769231,80,-1,54
 SWP,RF,10,20,0,28,0.9090909090909091,90,-1,28
 SWP,RF,20,30,0,10,0.9444444444444444,100,-1,85
 LPL,RF,10,10,0,10,0.6363636363636364,10,-1,10
 LPL,RF,10,30,0,28,0.754874651810585,20,-1,14
 LPL,RF,20,20,0,10,0.8070422535211268,30,-1,26
 LPL,RF,40,20,0,10,0.8347578347578347,40,-1,31
