Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,No_of_neighbors,Our_test_score
 SWP,ZR,0,0,0,0,-1,30,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,40,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,50,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,60,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,70,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,80,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,90,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,100,-1,-1,-1
 VSM,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 VSM,ZR,0,0,0,0,10.0,10,-1,-1,10
 VSM,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 VSM,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 VSM,ZR,0,0,0,0,1.25,20,-1,-1,20
 VSM,KNN,0,0,-1,-1,-1,30,-1,-1,-1
